1.000000   0.000000
0.996280   0.001172
0.985749   0.005042
0.969733   0.011567
0.949331   0.019933
0.925013   0.029036
0.896604   0.037958
0.863630   0.046635
0.826424   0.055387
0.785533   0.064216
0.741535   0.073043
0.695038   0.081746
0.646674   0.090172
0.597088   0.098138
0.546926   0.105437
0.496826   0.111844
0.447405   0.117113
0.399254   0.120979
0.352929   0.123150
0.308961   0.123253
0.267649   0.120477
0.228032   0.114783
0.190293   0.107047
0.154881   0.097687
0.122185   0.087030
0.092615   0.075381
0.066516   0.063028
0.044275   0.050276
0.026233   0.037351
0.012606   0.024534
0.003757   0.012217
0.000672   0.004557
0.000133   0.001836
0.000037   0.000887
0.0	0.0
