0.0	0.0
0.000025  -0.000735
0.000499  -0.003280
0.001427  -0.005948
0.003293  -0.009727
0.012369  -0.021463
0.026385  -0.033814
0.044928  -0.046399
0.067750  -0.059078
0.094260  -0.071913
0.123523  -0.084383
0.155152  -0.095994
0.188500  -0.106226
0.222881  -0.114767
0.257026  -0.119427
0.293098  -0.118878
0.331998  -0.113599
0.374522  -0.104281
0.420642  -0.092070
0.470046  -0.077846
0.522280  -0.062487
0.576716  -0.046887
0.632540  -0.031924
0.688741  -0.018413
0.744140  -0.007046
0.797417   0.001664
0.847171   0.007428
0.891988   0.010222
0.930520   0.010291
0.961558   0.008111
0.983734   0.004337
0.996140   0.001111
1.000000   0.000000
